BOJACK 10Ω,ESSMETUIN 10Ω,BOJACK 2kΩ,ESSMETUIN 2kΩ,BOJACK 1MΩ,ESSMETUIN 1MΩ
10.15,10.06,1.9633,1.9518,1.0142,1.0303
10.12,10.13,1.9478,1.9533,1.0198,0.9673
10.2,10.18,1.952,1.965,1.001,0.9943
10.12,10.12,1.972,1.977,1.0074,0.9747
10.06,10.11,1.9605,1.9534,1.0308,0.9993
10.03,10.15,1.9564,1.956,1.0205,0.9678
10.05,10.17,1.9683,1.9525,1.016,0.9711
10.04,10.14,1.9622,1.9647,1.0368,0.9823
10.11,10.18,1.9497,1.9522,1.0278,0.9796
10.07,10.15,1.9646,1.9619,1.0117,0.9906
10.06,10.09,1.9723,1.9683,1.0263,1.0287
10.16,10.1,1.9744,1.9563,1.0027,1.0244
10.1,10.03,1.9508,1.9632,1.0142,1.0021
10.11,10.1,1.9477,1.9548,1.0257,0.9998
10.22,10.07,1.9729,1.967,1.0106,1.0318
10.06,10.02,1.9809,1.948,1.0431,1.02
10.14,10.04,1.9443,1.9622,1.0383,1.0071
10.06,9.98,1.9544,1.9696,1.0252,1.0152
10.07,10.05,1.9686,1.9733,1.0176,1.0033
10.11,10.01,1.9545,1.927,1.0142,0.978
10.17,10.12,1.9494,1.9226,1.0119,0.988
10.03,10.26,1.9565,1.9264,1.0138,0.9915
10.13,10.34,1.9618,1.9515,1.017,0.9897
10.14,10.23,1.965,1.9592,1.0036,0.9922
10.07,10.2,1.9568,1.9372,1.0052,0.9801
10.09,10.22,1.9549,1.9215,1.0352,0.9889
10.1,10.13,1.9685,1.9546,1.0249,0.9853
10.19,10.38,1.9671,1.9223,0.9994,0.9829
10.15,10.17,1.9546,1.9682,1.0091,0.9994
10.18,10.09,1.9713,1.9593,1.0202,0.9787
